Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_BkBiFusionPure_TSP1_TDPxattn03_SC_20260227_162809
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
[Epoch 026] loss=0.3081 miou=0.5955 niou=0.6756 f1=0.7465 pd=0.9488 fa=0.000072 thr=0.43 time=37.0s
[Epoch 027] loss=0.2693 miou=0.6581 niou=0.7067 f1=0.7938 pd=0.9605 fa=0.000066 thr=0.45 time=37.0s
[Epoch 028] loss=0.2429 miou=0.6610 niou=0.7116 f1=0.7959 pd=0.9492 fa=0.000037 thr=0.43 time=37.2s
[Epoch 029] loss=0.2431 miou=0.6955 niou=0.7194 f1=0.8204 pd=0.9603 fa=0.000048 thr=0.46 time=37.2s
[Epoch 030] loss=0.2265 miou=0.6959 niou=0.7398 f1=0.8207 pd=0.9644 fa=0.000036 thr=0.44 time=37.0s
[Epoch 031] loss=0.2146 miou=0.6755 niou=0.7113 f1=0.8063 pd=0.9524 fa=0.000030 thr=0.44 time=37.0s
[Epoch 032] loss=0.2276 miou=0.6725 niou=0.7338 f1=0.8042 pd=0.9598 fa=0.000033 thr=0.43 time=37.2s
[Epoch 033] loss=0.2230 miou=0.6732 niou=0.7330 f1=0.8047 pd=0.9368 fa=0.000025 thr=0.43 time=37.3s
[Epoch 034] loss=0.2105 miou=0.7025 niou=0.7407 f1=0.8253 pd=0.9683 fa=0.000028 thr=0.45 time=37.1s
[Epoch 035] loss=0.2354 miou=0.6967 niou=0.7250 f1=0.8212 pd=0.9606 fa=0.000040 thr=0.45 time=37.1s
[Epoch 036] loss=0.2109 miou=0.6943 niou=0.7542 f1=0.8196 pd=0.9680 fa=0.000035 thr=0.43 time=37.1s
[Epoch 037] loss=0.2059 miou=0.6804 niou=0.6998 f1=0.8098 pd=0.9727 fa=0.000050 thr=0.47 time=37.2s
[Epoch 038] loss=0.2138 miou=0.7003 niou=0.7188 f1=0.8237 pd=0.9756 fa=0.000037 thr=0.47 time=37.2s
[Epoch 039] loss=0.2034 miou=0.7249 niou=0.7596 f1=0.8405 pd=0.9685 fa=0.000024 thr=0.45 time=37.2s
[Epoch 040] loss=0.1791 miou=0.7125 niou=0.7541 f1=0.8321 pd=0.9675 fa=0.000029 thr=0.43 time=37.0s
[Epoch 041] loss=0.1855 miou=0.6915 niou=0.7310 f1=0.8176 pd=0.9606 fa=0.000058 thr=0.45 time=37.2s
[Epoch 042] loss=0.2071 miou=0.6961 niou=0.7265 f1=0.8208 pd=0.9687 fa=0.000043 thr=0.45 time=37.2s
[Epoch 043] loss=0.1968 miou=0.7317 niou=0.7580 f1=0.8451 pd=0.9803 fa=0.000020 thr=0.44 time=37.3s
[Epoch 044] loss=0.1983 miou=0.6514 niou=0.7038 f1=0.7889 pd=0.9407 fa=0.000019 thr=0.43 time=37.1s
[Epoch 045] loss=0.2333 miou=0.7030 niou=0.7538 f1=0.8256 pd=0.9720 fa=0.000037 thr=0.43 time=37.2s
[Epoch 046] loss=0.2283 miou=0.7075 niou=0.7420 f1=0.8287 pd=0.9766 fa=0.000038 thr=0.44 time=37.2s
[Epoch 047] loss=0.2101 miou=0.6801 niou=0.7370 f1=0.8096 pd=0.9562 fa=0.000019 thr=0.43 time=37.2s
[Epoch 048] loss=0.2018 miou=0.6973 niou=0.7289 f1=0.8217 pd=0.9328 fa=0.000041 thr=0.43 time=37.1s
[Epoch 049] loss=0.1833 miou=0.6638 niou=0.7276 f1=0.7979 pd=0.9687 fa=0.000097 thr=0.45 time=37.1s
[Epoch 050] loss=0.2287 miou=0.7118 niou=0.7574 f1=0.8317 pd=0.9724 fa=0.000048 thr=0.43 time=36.9s
[Epoch 051] loss=0.1961 miou=0.7392 niou=0.7719 f1=0.8501 pd=0.9801 fa=0.000023 thr=0.45 time=37.0s
[Epoch 052] loss=0.1693 miou=0.7258 niou=0.7629 f1=0.8411 pd=0.9758 fa=0.000019 thr=0.42 time=36.9s
[Epoch 053] loss=0.1939 miou=0.6929 niou=0.7478 f1=0.8186 pd=0.9569 fa=0.000021 thr=0.44 time=37.2s
[Epoch 054] loss=0.1685 miou=0.7103 niou=0.7443 f1=0.8306 pd=0.9762 fa=0.000055 thr=0.44 time=37.3s
[Epoch 055] loss=0.1834 miou=0.7405 niou=0.7547 f1=0.8509 pd=0.9715 fa=0.000023 thr=0.45 time=37.2s
[Epoch 056] loss=0.1834 miou=0.7246 niou=0.7648 f1=0.8403 pd=0.9555 fa=0.000015 thr=0.43 time=37.0s
[Epoch 057] loss=0.1917 miou=0.7298 niou=0.7718 f1=0.8438 pd=0.9720 fa=0.000027 thr=0.44 time=37.1s
[Epoch 058] loss=0.1963 miou=0.7522 niou=0.7661 f1=0.8586 pd=0.9802 fa=0.000028 thr=0.44 time=37.1s
[Epoch 059] loss=0.1781 miou=0.7188 niou=0.7574 f1=0.8364 pd=0.9641 fa=0.000025 thr=0.42 time=36.9s
[Epoch 060] loss=0.1712 miou=0.7262 niou=0.7666 f1=0.8414 pd=0.9760 fa=0.000028 thr=0.43 time=37.2s
[Epoch 061] loss=0.1750 miou=0.6729 niou=0.7319 f1=0.8045 pd=0.9518 fa=0.000027 thr=0.41 time=37.2s
[Epoch 062] loss=0.1791 miou=0.7209 niou=0.7466 f1=0.8378 pd=0.9680 fa=0.000024 thr=0.44 time=37.2s
[Epoch 063] loss=0.1863 miou=0.6085 niou=0.6633 f1=0.7566 pd=0.9062 fa=0.000022 thr=0.40 time=37.2s
[Epoch 064] loss=0.1951 miou=0.7301 niou=0.7573 f1=0.8440 pd=0.9684 fa=0.000037 thr=0.44 time=37.1s
[Epoch 065] loss=0.2082 miou=0.7341 niou=0.7510 f1=0.8467 pd=0.9804 fa=0.000029 thr=0.44 time=36.9s
[Epoch 066] loss=0.1880 miou=0.7338 niou=0.7666 f1=0.8465 pd=0.9761 fa=0.000021 thr=0.45 time=37.0s
[Epoch 067] loss=0.1802 miou=0.7345 niou=0.7401 f1=0.8470 pd=0.9724 fa=0.000029 thr=0.45 time=37.0s
[Epoch 068] loss=0.1675 miou=0.7238 niou=0.7676 f1=0.8398 pd=0.9685 fa=0.000017 thr=0.41 time=37.0s
[Epoch 069] loss=0.1861 miou=0.7299 niou=0.7625 f1=0.8438 pd=0.9880 fa=0.000032 thr=0.44 time=37.0s
[Epoch 070] loss=0.2945 miou=0.7392 niou=0.7746 f1=0.8500 pd=0.9646 fa=0.000028 thr=0.43 time=37.0s
[Epoch 071] loss=0.1671 miou=0.7003 niou=0.7470 f1=0.8238 pd=0.9800 fa=0.000074 thr=0.44 time=36.9s
[Epoch 072] loss=0.1883 miou=0.7315 niou=0.7606 f1=0.8450 pd=0.9563 fa=0.000027 thr=0.43 time=37.1s
[Epoch 073] loss=0.1775 miou=0.7316 niou=0.7762 f1=0.8450 pd=0.9798 fa=0.000024 thr=0.43 time=37.1s
[Epoch 074] loss=0.1721 miou=0.7358 niou=0.7560 f1=0.8478 pd=0.9606 fa=0.000025 thr=0.44 time=37.3s
[Epoch 075] loss=0.1808 miou=0.6860 niou=0.7392 f1=0.8138 pd=0.9684 fa=0.000093 thr=0.45 time=37.2s
[Epoch 076] loss=0.1808 miou=0.7257 niou=0.7588 f1=0.8411 pd=0.9672 fa=0.000037 thr=0.44 time=37.1s
[Epoch 077] loss=0.1523 miou=0.7173 niou=0.7583 f1=0.8354 pd=0.9762 fa=0.000072 thr=0.44 time=37.2s
[Epoch 078] loss=0.1479 miou=0.7114 niou=0.7456 f1=0.8314 pd=0.9641 fa=0.000038 thr=0.43 time=37.0s
[Epoch 079] loss=0.1624 miou=0.7576 niou=0.7824 f1=0.8621 pd=0.9721 fa=0.000014 thr=0.43 time=37.8s
[Epoch 080] loss=0.1612 miou=0.7163 niou=0.7504 f1=0.8347 pd=0.9727 fa=0.000065 thr=0.44 time=59.1s
[Epoch 081] loss=0.1763 miou=0.6438 niou=0.7050 f1=0.7833 pd=0.9882 fa=0.000124 thr=0.47 time=50.5s
[Epoch 082] loss=0.2040 miou=0.7272 niou=0.7654 f1=0.8420 pd=0.9798 fa=0.000031 thr=0.44 time=37.0s
[Epoch 083] loss=0.1884 miou=0.7362 niou=0.7609 f1=0.8481 pd=0.9721 fa=0.000039 thr=0.45 time=37.2s
[Epoch 084] loss=0.1725 miou=0.7336 niou=0.7675 f1=0.8464 pd=0.9801 fa=0.000045 thr=0.43 time=37.2s
[Epoch 085] loss=0.1951 miou=0.7206 niou=0.7458 f1=0.8376 pd=0.9679 fa=0.000035 thr=0.44 time=37.2s
[Epoch 086] loss=0.1706 miou=0.7429 niou=0.7645 f1=0.8525 pd=0.9761 fa=0.000036 thr=0.43 time=37.0s
[Epoch 087] loss=0.1742 miou=0.6906 niou=0.7085 f1=0.8170 pd=0.9016 fa=0.000037 thr=0.42 time=37.0s
[Epoch 088] loss=0.2023 miou=0.6761 niou=0.7135 f1=0.8067 pd=0.9643 fa=0.000069 thr=0.45 time=37.1s
[Epoch 089] loss=0.1901 miou=0.6605 niou=0.7343 f1=0.7956 pd=0.9442 fa=0.000030 thr=0.42 time=37.3s
[Epoch 090] loss=0.1903 miou=0.7209 niou=0.7568 f1=0.8378 pd=0.9766 fa=0.000044 thr=0.44 time=37.0s
[Epoch 091] loss=0.1688 miou=0.7227 niou=0.7549 f1=0.8390 pd=0.9805 fa=0.000038 thr=0.43 time=37.2s
[Epoch 092] loss=0.1709 miou=0.7245 niou=0.7556 f1=0.8402 pd=0.9842 fa=0.000050 thr=0.44 time=36.8s
[Epoch 093] loss=0.2201 miou=0.7100 niou=0.7429 f1=0.8304 pd=0.9727 fa=0.000063 thr=0.44 time=37.1s
[Epoch 094] loss=0.1947 miou=0.7190 niou=0.7499 f1=0.8365 pd=0.9528 fa=0.000020 thr=0.44 time=37.0s
[Epoch 095] loss=0.1639 miou=0.7336 niou=0.7603 f1=0.8463 pd=0.9763 fa=0.000025 thr=0.44 time=37.0s
[Epoch 096] loss=0.1641 miou=0.7503 niou=0.7749 f1=0.8573 pd=0.9643 fa=0.000031 thr=0.44 time=37.0s
[Epoch 097] loss=0.1672 miou=0.7279 niou=0.7487 f1=0.8425 pd=0.9757 fa=0.000027 thr=0.44 time=37.0s
[Epoch 098] loss=0.1757 miou=0.7578 niou=0.7743 f1=0.8622 pd=0.9637 fa=0.000022 thr=0.44 time=37.2s
[Epoch 099] loss=0.1587 miou=0.7491 niou=0.7657 f1=0.8566 pd=0.9602 fa=0.000016 thr=0.43 time=36.8s
[Epoch 100] loss=0.1611 miou=0.7416 niou=0.7642 f1=0.8516 pd=0.9640 fa=0.000023 thr=0.44 time=37.2s
[Epoch 101] loss=0.1612 miou=0.7274 niou=0.7564 f1=0.8422 pd=0.9761 fa=0.000024 thr=0.43 time=37.3s
[Epoch 102] loss=2.6732 miou=0.7487 niou=0.7776 f1=0.8563 pd=0.9838 fa=0.000024 thr=0.44 time=36.9s
[Epoch 103] loss=0.1444 miou=0.7403 niou=0.7722 f1=0.8508 pd=0.9677 fa=0.000037 thr=0.43 time=37.0s
[Epoch 104] loss=0.1479 miou=0.7608 niou=0.7757 f1=0.8641 pd=0.9719 fa=0.000020 thr=0.44 time=36.9s
[Epoch 105] loss=0.1480 miou=0.7190 niou=0.7573 f1=0.8365 pd=0.9766 fa=0.000059 thr=0.44 time=37.2s
[Epoch 106] loss=0.1800 miou=0.7292 niou=0.7522 f1=0.8434 pd=0.9844 fa=0.000030 thr=0.46 time=37.0s
[Epoch 107] loss=0.1907 miou=0.7175 niou=0.7577 f1=0.8356 pd=0.9767 fa=0.000058 thr=0.45 time=36.8s
[Epoch 108] loss=0.1613 miou=0.7392 niou=0.7660 f1=0.8500 pd=0.9843 fa=0.000037 thr=0.43 time=37.2s
[Epoch 109] loss=0.1561 miou=0.7480 niou=0.7767 f1=0.8558 pd=0.9684 fa=0.000020 thr=0.43 time=37.2s
[Epoch 110] loss=0.1447 miou=0.7449 niou=0.7697 f1=0.8538 pd=0.9680 fa=0.000023 thr=0.44 time=37.0s
[Epoch 111] loss=0.1562 miou=0.7509 niou=0.7724 f1=0.8577 pd=0.9646 fa=0.000020 thr=0.43 time=37.1s
[Epoch 112] loss=0.1499 miou=0.7405 niou=0.7642 f1=0.8509 pd=0.9764 fa=0.000028 thr=0.44 time=37.2s
[Epoch 113] loss=0.1659 miou=0.7432 niou=0.7778 f1=0.8527 pd=0.9644 fa=0.000031 thr=0.43 time=37.2s
[Epoch 114] loss=0.1458 miou=0.7419 niou=0.7668 f1=0.8518 pd=0.9680 fa=0.000029 thr=0.43 time=37.2s
[Epoch 115] loss=0.1512 miou=0.7528 niou=0.7822 f1=0.8589 pd=0.9800 fa=0.000028 thr=0.43 time=37.2s
[Epoch 116] loss=0.1486 miou=0.7522 niou=0.7742 f1=0.8586 pd=0.9643 fa=0.000022 thr=0.44 time=37.2s
[Epoch 117] loss=0.1601 miou=0.6535 niou=0.7270 f1=0.7905 pd=0.9560 fa=0.000056 thr=0.42 time=47.7s
[Epoch 118] loss=347.0296 miou=0.0184 niou=0.0597 f1=0.0362 pd=0.0518 fa=0.000044 thr=0.40 time=57.8s
[Epoch 119] loss=1.1326 miou=0.0317 niou=0.0820 f1=0.0614 pd=0.0602 fa=0.000037 thr=0.41 time=47.6s
[Epoch 120] loss=1.1084 miou=0.0322 niou=0.0576 f1=0.0625 pd=0.0742 fa=0.000050 thr=0.41 time=74.8s
[Epoch 121] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=57.1s
[Epoch 122] loss=nan miou=0.0000 niou=0.0561 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=56.0s
[Epoch 123] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=59.3s
[Epoch 124] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=42.0s
[Epoch 125] loss=nan miou=0.0000 niou=0.0607 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.2s
[Epoch 126] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.1s
[Epoch 127] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.2s
[Epoch 128] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.3s
[Epoch 129] loss=nan miou=0.0000 niou=0.0701 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.6s
[Epoch 130] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.4s
[Epoch 131] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 132] loss=nan miou=0.0000 niou=0.0514 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 133] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 134] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 135] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 136] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 137] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.1s
[Epoch 138] loss=nan miou=0.0000 niou=0.0748 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=38.1s
[Epoch 139] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.6s
[Epoch 140] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=39.1s
[Epoch 141] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 142] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 143] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 144] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 145] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 146] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 147] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 148] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 149] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 150] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 151] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 152] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 153] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 154] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
[Epoch 155] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 156] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.7s
[Epoch 157] loss=nan miou=0.0000 niou=0.0561 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 158] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 159] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 160] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 161] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 162] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 163] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 164] loss=nan miou=0.0000 niou=0.0514 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 165] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 166] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 167] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 168] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.6s
[Epoch 169] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
[Epoch 170] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 171] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
[Epoch 172] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 173] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.6s
[Epoch 174] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.6s
[Epoch 175] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.6s
[Epoch 176] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 177] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 178] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 179] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 180] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 181] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 182] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.9s
[Epoch 183] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=58.2s
[Epoch 184] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=62.0s
[Epoch 185] loss=nan miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=59.6s
[Epoch 186] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=45.6s
[Epoch 187] loss=nan miou=0.0000 niou=0.0187 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 188] loss=nan miou=0.0000 niou=0.0607 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 189] loss=nan miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 190] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 191] loss=nan miou=0.0000 niou=0.0607 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 192] loss=nan miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.6s
[Epoch 193] loss=nan miou=0.0000 niou=0.0607 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 194] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.2s
[Epoch 195] loss=nan miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 196] loss=nan miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 197] loss=nan miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.1s
