Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_TSP1_TDPg03_SC_20260226_101308
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=global, hidden=128, heads=4, alpha=0.3, params=246785
[Epoch 044] loss=0.1547 miou=0.7639 niou=0.7762 f1=0.8662 pd=0.9879 fa=0.000027 thr=0.44 time=35.8s
[Epoch 045] loss=0.1539 miou=0.7650 niou=0.7864 f1=0.8669 pd=0.9798 fa=0.000031 thr=0.44 time=35.7s
[Epoch 046] loss=0.1512 miou=0.7669 niou=0.7706 f1=0.8681 pd=0.9760 fa=0.000015 thr=0.44 time=35.5s
[Epoch 047] loss=0.1638 miou=0.7555 niou=0.7677 f1=0.8607 pd=0.9531 fa=0.000022 thr=0.43 time=35.3s
[Epoch 048] loss=0.1763 miou=0.7108 niou=0.7268 f1=0.8310 pd=0.9840 fa=0.000068 thr=0.47 time=35.4s
[Epoch 049] loss=0.1921 miou=0.6932 niou=0.7400 f1=0.8188 pd=0.9844 fa=0.000093 thr=0.44 time=35.3s
[Epoch 050] loss=0.1652 miou=0.7469 niou=0.7694 f1=0.8551 pd=0.9879 fa=0.000027 thr=0.43 time=35.3s
[Epoch 051] loss=0.1487 miou=0.7797 niou=0.7841 f1=0.8762 pd=0.9722 fa=0.000023 thr=0.43 time=35.4s
[Epoch 052] loss=0.1460 miou=0.7881 niou=0.7954 f1=0.8815 pd=0.9764 fa=0.000021 thr=0.43 time=35.2s
[Epoch 053] loss=0.1468 miou=0.7683 niou=0.7825 f1=0.8690 pd=0.9723 fa=0.000020 thr=0.43 time=35.5s
[Epoch 054] loss=0.1381 miou=0.7858 niou=0.7921 f1=0.8801 pd=0.9842 fa=0.000019 thr=0.42 time=35.7s
[Epoch 055] loss=0.1445 miou=0.7729 niou=0.7902 f1=0.8719 pd=0.9840 fa=0.000025 thr=0.43 time=35.3s
[Epoch 056] loss=0.1427 miou=0.7725 niou=0.7894 f1=0.8717 pd=0.9757 fa=0.000022 thr=0.42 time=35.2s
[Epoch 057] loss=0.1569 miou=0.7732 niou=0.7799 f1=0.8721 pd=0.9806 fa=0.000021 thr=0.43 time=35.1s
[Epoch 058] loss=0.1458 miou=0.7679 niou=0.7902 f1=0.8687 pd=0.9763 fa=0.000018 thr=0.42 time=35.0s
[Epoch 059] loss=0.1407 miou=0.7736 niou=0.7781 f1=0.8724 pd=0.9840 fa=0.000009 thr=0.44 time=35.2s
[Epoch 060] loss=0.1475 miou=0.7576 niou=0.7881 f1=0.8621 pd=0.9763 fa=0.000025 thr=0.43 time=35.3s
[Epoch 061] loss=0.1471 miou=0.7834 niou=0.7806 f1=0.8785 pd=0.9727 fa=0.000017 thr=0.42 time=35.5s
[Epoch 062] loss=0.1467 miou=0.7605 niou=0.7791 f1=0.8640 pd=0.9717 fa=0.000016 thr=0.42 time=35.6s
[Epoch 063] loss=0.1448 miou=0.7572 niou=0.7821 f1=0.8618 pd=0.9841 fa=0.000023 thr=0.42 time=35.2s
[Epoch 064] loss=0.1449 miou=0.7867 niou=0.7925 f1=0.8806 pd=0.9840 fa=0.000011 thr=0.42 time=35.4s
[Epoch 065] loss=0.1391 miou=0.7705 niou=0.7665 f1=0.8704 pd=0.9841 fa=0.000013 thr=0.44 time=35.6s
[Epoch 066] loss=0.1473 miou=0.7701 niou=0.7841 f1=0.8701 pd=0.9920 fa=0.000016 thr=0.43 time=35.4s
[Epoch 067] loss=0.1396 miou=0.7736 niou=0.7806 f1=0.8723 pd=0.9880 fa=0.000033 thr=0.43 time=35.4s
[Epoch 068] loss=0.1424 miou=0.7744 niou=0.7857 f1=0.8729 pd=0.9803 fa=0.000022 thr=0.43 time=35.4s
[Epoch 069] loss=0.1420 miou=0.7777 niou=0.7861 f1=0.8750 pd=0.9800 fa=0.000010 thr=0.44 time=35.6s
[Epoch 070] loss=0.1339 miou=0.7818 niou=0.7899 f1=0.8775 pd=0.9839 fa=0.000017 thr=0.44 time=35.9s
[Epoch 071] loss=0.1341 miou=0.7533 niou=0.7740 f1=0.8593 pd=0.9760 fa=0.000024 thr=0.42 time=32.3s
[Epoch 072] loss=0.1380 miou=0.7842 niou=0.7855 f1=0.8790 pd=0.9805 fa=0.000019 thr=0.42 time=32.8s
[Epoch 073] loss=0.1341 miou=0.7660 niou=0.7763 f1=0.8675 pd=0.9880 fa=0.000023 thr=0.43 time=35.6s
[Epoch 074] loss=0.1420 miou=0.7691 niou=0.7711 f1=0.8695 pd=0.9765 fa=0.000018 thr=0.45 time=35.2s
[Epoch 075] loss=0.1571 miou=0.7543 niou=0.7728 f1=0.8599 pd=0.9722 fa=0.000017 thr=0.43 time=34.2s
[Epoch 076] loss=0.1654 miou=0.7681 niou=0.7828 f1=0.8688 pd=0.9880 fa=0.000025 thr=0.43 time=35.5s
[Epoch 077] loss=0.1816 miou=0.7445 niou=0.7505 f1=0.8535 pd=0.9686 fa=0.000010 thr=0.43 time=35.8s
[Epoch 078] loss=0.1504 miou=0.7690 niou=0.7865 f1=0.8694 pd=0.9760 fa=0.000022 thr=0.42 time=35.5s
[Epoch 079] loss=0.1366 miou=0.7798 niou=0.7892 f1=0.8762 pd=0.9801 fa=0.000005 thr=0.42 time=35.3s
[Epoch 080] loss=0.1395 miou=0.7730 niou=0.7801 f1=0.8720 pd=0.9719 fa=0.000018 thr=0.42 time=35.4s
[Epoch 081] loss=0.1549 miou=0.7639 niou=0.7777 f1=0.8661 pd=0.9802 fa=0.000023 thr=0.44 time=35.4s
[Epoch 082] loss=0.1542 miou=0.7679 niou=0.7799 f1=0.8687 pd=0.9879 fa=0.000029 thr=0.44 time=35.6s
[Epoch 083] loss=0.1632 miou=0.7550 niou=0.7736 f1=0.8604 pd=0.9646 fa=0.000015 thr=0.44 time=35.4s
[Epoch 084] loss=0.1517 miou=0.7815 niou=0.7920 f1=0.8774 pd=0.9841 fa=0.000011 thr=0.43 time=35.6s
[Epoch 085] loss=0.1464 miou=0.7769 niou=0.7877 f1=0.8744 pd=0.9922 fa=0.000019 thr=0.43 time=35.2s
[Epoch 086] loss=0.1533 miou=0.7632 niou=0.7752 f1=0.8657 pd=0.9800 fa=0.000034 thr=0.44 time=35.4s
[Epoch 087] loss=0.1399 miou=0.7781 niou=0.7764 f1=0.8752 pd=0.9846 fa=0.000014 thr=0.44 time=35.2s
[Epoch 088] loss=0.1337 miou=0.7298 niou=0.7753 f1=0.8438 pd=0.9435 fa=0.000017 thr=0.41 time=35.4s
[Epoch 089] loss=0.1452 miou=0.7788 niou=0.7875 f1=0.8757 pd=0.9843 fa=0.000020 thr=0.43 time=35.4s
[Epoch 090] loss=0.1364 miou=0.7858 niou=0.7906 f1=0.8800 pd=0.9880 fa=0.000007 thr=0.44 time=35.2s
[Epoch 091] loss=0.1511 miou=0.7364 niou=0.7557 f1=0.8482 pd=0.9764 fa=0.000035 thr=0.44 time=35.4s
[Epoch 092] loss=0.1593 miou=0.7255 niou=0.7589 f1=0.8409 pd=0.9729 fa=0.000057 thr=0.43 time=35.2s
[Epoch 093] loss=0.1537 miou=0.7614 niou=0.7657 f1=0.8646 pd=0.9760 fa=0.000016 thr=0.44 time=35.6s
[Epoch 094] loss=0.1490 miou=0.7616 niou=0.7835 f1=0.8647 pd=0.9841 fa=0.000022 thr=0.43 time=35.6s
[Epoch 095] loss=9.1477 miou=0.0125 niou=0.7352 f1=0.0247 pd=0.9647 fa=0.037409 thr=0.42 time=35.4s
[Epoch 096] loss=63.4429 miou=0.0000 niou=0.0561 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.6s
[Epoch 097] loss=1.1002 miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.5s
[Epoch 098] loss=1.0880 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 099] loss=1.1007 miou=0.0000 niou=0.0561 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 100] loss=1.1223 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 101] loss=1.0924 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.6s
[Epoch 102] loss=1.1250 miou=0.0000 niou=0.0514 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 103] loss=1.0859 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 104] loss=1.1073 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 105] loss=1.1249 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 106] loss=1.0967 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.2s
[Epoch 107] loss=1.1290 miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 108] loss=1.0949 miou=0.0000 niou=0.0234 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 109] loss=1.1033 miou=0.0000 niou=0.0187 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.2s
[Epoch 110] loss=1.1063 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.2s
[Epoch 111] loss=1.0938 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.6s
[Epoch 112] loss=1.1199 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.3s
[Epoch 113] loss=1.1266 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.5s
[Epoch 114] loss=1.1157 miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 115] loss=1.0805 miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 116] loss=1.1299 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 117] loss=1.1104 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 118] loss=1.1163 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 119] loss=1.1380 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=35.4s
[Epoch 120] loss=1.1470 miou=0.0009 niou=0.0381 f1=0.0017 pd=0.0119 fa=0.000000 thr=0.40 time=35.4s
[Epoch 121] loss=1.1116 miou=0.0016 niou=0.0292 f1=0.0032 pd=0.0238 fa=0.000001 thr=0.40 time=35.4s
[Epoch 122] loss=1.1562 miou=0.0388 niou=0.0615 f1=0.0747 pd=0.1299 fa=0.000075 thr=0.40 time=35.2s
[Epoch 123] loss=1.1181 miou=0.0044 niou=0.0635 f1=0.0087 pd=0.0329 fa=0.000003 thr=0.40 time=35.0s
[Epoch 124] loss=1.1345 miou=0.0199 niou=0.0448 f1=0.0390 pd=0.0945 fa=0.000029 thr=0.40 time=35.4s
[Epoch 125] loss=1.0939 miou=0.0286 niou=0.0582 f1=0.0555 pd=0.1089 fa=0.000043 thr=0.40 time=35.4s
[Epoch 126] loss=1.1192 miou=0.0466 niou=0.0674 f1=0.0891 pd=0.1275 fa=0.000141 thr=0.41 time=35.4s
[Epoch 127] loss=1.1040 miou=0.0408 niou=0.0673 f1=0.0784 pd=0.1146 fa=0.000118 thr=0.41 time=39.8s
[Epoch 128] loss=1.0881 miou=0.0414 niou=0.0586 f1=0.0795 pd=0.1260 fa=0.000110 thr=0.41 time=37.4s
[Epoch 129] loss=1.1051 miou=0.0406 niou=0.0552 f1=0.0780 pd=0.1641 fa=0.000424 thr=0.41 time=36.3s
[Epoch 130] loss=1.1078 miou=0.0652 niou=0.0828 f1=0.1224 pd=0.1310 fa=0.000123 thr=0.41 time=35.4s
[Epoch 131] loss=1.0809 miou=0.0522 niou=0.0609 f1=0.0992 pd=0.1137 fa=0.000092 thr=0.41 time=35.4s
[Epoch 132] loss=1.0835 miou=0.0554 niou=0.0725 f1=0.1049 pd=0.1142 fa=0.000054 thr=0.41 time=35.2s
[Epoch 133] loss=1.0781 miou=0.0728 niou=0.0904 f1=0.1357 pd=0.1245 fa=0.000164 thr=0.41 time=37.9s
[Epoch 134] loss=1.0677 miou=0.0685 niou=0.0976 f1=0.1282 pd=0.1341 fa=0.000411 thr=0.42 time=36.9s
[Epoch 135] loss=1.0855 miou=0.0360 niou=0.0501 f1=0.0695 pd=0.0669 fa=0.000005 thr=0.40 time=35.4s
[Epoch 136] loss=1.0573 miou=0.0612 niou=0.0538 f1=0.1154 pd=0.1055 fa=0.000032 thr=0.41 time=35.2s
[Epoch 137] loss=1.0785 miou=0.0747 niou=0.0868 f1=0.1391 pd=0.1245 fa=0.000026 thr=0.41 time=35.2s
[Epoch 138] loss=1.0719 miou=0.0362 niou=0.0527 f1=0.0698 pd=0.0667 fa=0.000007 thr=0.40 time=35.1s
[Epoch 139] loss=1.0780 miou=0.0537 niou=0.0554 f1=0.1019 pd=0.1055 fa=0.000032 thr=0.41 time=35.2s
[Epoch 140] loss=1.0497 miou=0.0719 niou=0.0926 f1=0.1342 pd=0.1290 fa=0.000071 thr=0.41 time=35.5s
[Epoch 141] loss=1.0785 miou=0.0698 niou=0.0770 f1=0.1304 pd=0.1146 fa=0.000052 thr=0.41 time=36.0s
[Epoch 142] loss=1.0754 miou=0.0803 niou=0.1124 f1=0.1486 pd=0.1325 fa=0.000119 thr=0.41 time=36.0s
[Epoch 143] loss=1.0361 miou=0.0710 niou=0.0849 f1=0.1325 pd=0.1270 fa=0.000019 thr=0.41 time=36.0s
[Epoch 144] loss=1.0507 miou=0.0810 niou=0.0715 f1=0.1499 pd=0.1351 fa=0.000107 thr=0.41 time=36.1s
[Epoch 145] loss=1.0960 miou=0.0828 niou=0.0823 f1=0.1529 pd=0.1569 fa=0.000135 thr=0.41 time=36.1s
[Epoch 146] loss=1.0548 miou=0.0887 niou=0.1209 f1=0.1629 pd=0.2289 fa=0.000378 thr=0.42 time=36.0s
[Epoch 147] loss=1.0531 miou=0.0498 niou=0.0741 f1=0.0948 pd=0.1220 fa=0.000013 thr=0.40 time=36.0s
