Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_use_HQ_radial_edge_high_early8_bs4e1000kp1_split-50_50_20260123_221828
[Epoch 001] loss=1.2584 miou=0.0946 niou=0.1150 f1=0.1728 pd=0.9683 fa=0.000591 thr=0.46 time=42.8s
[Epoch 002] loss=0.4952 miou=0.5621 niou=0.5786 f1=0.7197 pd=0.9937 fa=0.000165 thr=0.47 time=41.3s
[Epoch 003] loss=0.3232 miou=0.6090 niou=0.6152 f1=0.7570 pd=0.9937 fa=0.000105 thr=0.47 time=40.8s
[Epoch 004] loss=0.2958 miou=0.6568 niou=0.6674 f1=0.7929 pd=0.9926 fa=0.000071 thr=0.44 time=41.1s
[Epoch 005] loss=0.2715 miou=0.6722 niou=0.6795 f1=0.8039 pd=0.9947 fa=0.000057 thr=0.44 time=39.5s
[Epoch 006] loss=0.2633 miou=0.6890 niou=0.6972 f1=0.8158 pd=0.9937 fa=0.000045 thr=0.42 time=39.9s
[Epoch 007] loss=0.2591 miou=0.6931 niou=0.7037 f1=0.8187 pd=0.9937 fa=0.000040 thr=0.42 time=39.0s
[Epoch 008] loss=0.2486 miou=0.7005 niou=0.7118 f1=0.8239 pd=0.9905 fa=0.000035 thr=0.42 time=39.9s
[Epoch 009] loss=0.2425 miou=0.7121 niou=0.7223 f1=0.8318 pd=0.9937 fa=0.000037 thr=0.42 time=38.4s
[Epoch 010] loss=0.2378 miou=0.7056 niou=0.7141 f1=0.8274 pd=0.9915 fa=0.000041 thr=0.42 time=40.4s
[Epoch 011] loss=0.2305 miou=0.7167 niou=0.7305 f1=0.8349 pd=0.9958 fa=0.000036 thr=0.43 time=39.4s
[Epoch 012] loss=0.2292 miou=0.7217 niou=0.7370 f1=0.8384 pd=0.9894 fa=0.000024 thr=0.40 time=39.6s
[Epoch 013] loss=0.2308 miou=0.7129 niou=0.7235 f1=0.8324 pd=0.9915 fa=0.000047 thr=0.44 time=40.7s
[Epoch 014] loss=0.2205 miou=0.7248 niou=0.7387 f1=0.8405 pd=0.9915 fa=0.000028 thr=0.41 time=40.2s
[Epoch 015] loss=0.2231 miou=0.7350 niou=0.7473 f1=0.8473 pd=0.9947 fa=0.000028 thr=0.42 time=39.9s
[Epoch 016] loss=0.2177 miou=0.7243 niou=0.7353 f1=0.8401 pd=0.9926 fa=0.000043 thr=0.44 time=40.4s
[Epoch 017] loss=0.2134 miou=0.7315 niou=0.7459 f1=0.8449 pd=0.9937 fa=0.000033 thr=0.42 time=40.9s
[Epoch 018] loss=0.2112 miou=0.7178 niou=0.7336 f1=0.8357 pd=0.9873 fa=0.000024 thr=0.39 time=40.9s
[Epoch 019] loss=0.2131 miou=0.7322 niou=0.7450 f1=0.8454 pd=0.9947 fa=0.000036 thr=0.43 time=41.0s
[Epoch 020] loss=0.2102 miou=0.7362 niou=0.7505 f1=0.8481 pd=0.9926 fa=0.000034 thr=0.42 time=40.7s
[Epoch 021] loss=0.2075 miou=0.7433 niou=0.7544 f1=0.8528 pd=0.9947 fa=0.000032 thr=0.42 time=40.9s
[Epoch 022] loss=0.2062 miou=0.7459 niou=0.7613 f1=0.8544 pd=0.9937 fa=0.000022 thr=0.41 time=40.7s
[Epoch 023] loss=0.2010 miou=0.7468 niou=0.7645 f1=0.8551 pd=0.9894 fa=0.000018 thr=0.39 time=40.8s
[Epoch 024] loss=0.2066 miou=0.7483 niou=0.7598 f1=0.8560 pd=0.9947 fa=0.000025 thr=0.41 time=40.9s
[Epoch 025] loss=0.1994 miou=0.7513 niou=0.7646 f1=0.8580 pd=0.9926 fa=0.000028 thr=0.42 time=40.7s
[Epoch 026] loss=0.1986 miou=0.7486 niou=0.7608 f1=0.8563 pd=0.9915 fa=0.000028 thr=0.42 time=40.8s
[Epoch 027] loss=0.1982 miou=0.7519 niou=0.7671 f1=0.8584 pd=0.9947 fa=0.000023 thr=0.41 time=40.8s
[Epoch 028] loss=0.1969 miou=0.7496 niou=0.7647 f1=0.8569 pd=0.9884 fa=0.000024 thr=0.40 time=40.7s
[Epoch 029] loss=0.1952 miou=0.7498 niou=0.7654 f1=0.8570 pd=0.9937 fa=0.000026 thr=0.41 time=40.5s
[Epoch 030] loss=0.1936 miou=0.7487 niou=0.7656 f1=0.8563 pd=0.9937 fa=0.000028 thr=0.41 time=40.7s
[Epoch 031] loss=0.1912 miou=0.7552 niou=0.7703 f1=0.8605 pd=0.9915 fa=0.000028 thr=0.41 time=40.8s
[Epoch 032] loss=0.1905 miou=0.7570 niou=0.7713 f1=0.8617 pd=0.9937 fa=0.000021 thr=0.41 time=40.8s
[Epoch 033] loss=0.1877 miou=0.7585 niou=0.7739 f1=0.8627 pd=0.9947 fa=0.000021 thr=0.41 time=40.9s
[Epoch 034] loss=0.1843 miou=0.7597 niou=0.7740 f1=0.8634 pd=0.9926 fa=0.000022 thr=0.41 time=40.9s
[Epoch 035] loss=0.1872 miou=0.7650 niou=0.7767 f1=0.8669 pd=0.9926 fa=0.000023 thr=0.42 time=40.2s
[Epoch 036] loss=0.1866 miou=0.7522 niou=0.7674 f1=0.8586 pd=0.9937 fa=0.000025 thr=0.41 time=40.7s
[Epoch 037] loss=0.1841 miou=0.7591 niou=0.7740 f1=0.8631 pd=0.9937 fa=0.000026 thr=0.40 time=40.7s
[Epoch 038] loss=0.1860 miou=0.7576 niou=0.7715 f1=0.8621 pd=0.9905 fa=0.000025 thr=0.41 time=40.9s
[Epoch 039] loss=0.1793 miou=0.7645 niou=0.7789 f1=0.8665 pd=0.9915 fa=0.000022 thr=0.41 time=40.8s
[Epoch 040] loss=0.1823 miou=0.7598 niou=0.7734 f1=0.8635 pd=0.9937 fa=0.000031 thr=0.41 time=40.9s
[Epoch 041] loss=0.1784 miou=0.7591 niou=0.7723 f1=0.8631 pd=0.9947 fa=0.000033 thr=0.43 time=40.6s
[Epoch 042] loss=0.1820 miou=0.7564 niou=0.7687 f1=0.8613 pd=0.9947 fa=0.000028 thr=0.41 time=40.9s
[Epoch 043] loss=0.1767 miou=0.7710 niou=0.7858 f1=0.8707 pd=0.9937 fa=0.000021 thr=0.40 time=40.9s
[Epoch 044] loss=0.1776 miou=0.7688 niou=0.7844 f1=0.8693 pd=0.9926 fa=0.000023 thr=0.41 time=40.8s
[Epoch 045] loss=0.1804 miou=0.7638 niou=0.7804 f1=0.8661 pd=0.9937 fa=0.000019 thr=0.40 time=40.7s
[Epoch 046] loss=0.1796 miou=0.7627 niou=0.7751 f1=0.8654 pd=0.9937 fa=0.000025 thr=0.41 time=40.7s
[Epoch 047] loss=0.1748 miou=0.7660 niou=0.7803 f1=0.8675 pd=0.9894 fa=0.000022 thr=0.40 time=40.7s
[Epoch 048] loss=0.1776 miou=0.7667 niou=0.7807 f1=0.8679 pd=0.9926 fa=0.000020 thr=0.40 time=40.7s
[Epoch 049] loss=0.1731 miou=0.7676 niou=0.7796 f1=0.8685 pd=0.9915 fa=0.000023 thr=0.42 time=40.6s
[Epoch 050] loss=0.1740 miou=0.7567 niou=0.7642 f1=0.8615 pd=0.9947 fa=0.000034 thr=0.42 time=40.3s
[Epoch 051] loss=0.1718 miou=0.7651 niou=0.7745 f1=0.8669 pd=0.9926 fa=0.000029 thr=0.42 time=39.7s
[Epoch 052] loss=0.1719 miou=0.7673 niou=0.7822 f1=0.8684 pd=0.9937 fa=0.000024 thr=0.41 time=40.9s
[Epoch 053] loss=0.1729 miou=0.7490 niou=0.7571 f1=0.8565 pd=0.9947 fa=0.000035 thr=0.43 time=39.5s
[Epoch 054] loss=0.1716 miou=0.7658 niou=0.7786 f1=0.8674 pd=0.9947 fa=0.000024 thr=0.41 time=40.7s
[Epoch 055] loss=0.1692 miou=0.7636 niou=0.7776 f1=0.8659 pd=0.9937 fa=0.000025 thr=0.41 time=40.7s
[Epoch 056] loss=0.1732 miou=0.7650 niou=0.7832 f1=0.8669 pd=0.9905 fa=0.000018 thr=0.40 time=40.5s
[Epoch 057] loss=0.1705 miou=0.7683 niou=0.7859 f1=0.8690 pd=0.9926 fa=0.000020 thr=0.40 time=40.6s
[Epoch 058] loss=0.1673 miou=0.7606 niou=0.7724 f1=0.8640 pd=0.9937 fa=0.000033 thr=0.42 time=40.7s
[Epoch 059] loss=0.1669 miou=0.7699 niou=0.7848 f1=0.8700 pd=0.9926 fa=0.000023 thr=0.41 time=40.6s
[Epoch 060] loss=0.1666 miou=0.7729 niou=0.7836 f1=0.8719 pd=0.9937 fa=0.000022 thr=0.41 time=40.6s
[Epoch 061] loss=0.1697 miou=0.7690 niou=0.7823 f1=0.8694 pd=0.9926 fa=0.000020 thr=0.40 time=40.7s
[Epoch 062] loss=0.1656 miou=0.7647 niou=0.7763 f1=0.8667 pd=0.9947 fa=0.000033 thr=0.43 time=40.7s
[Epoch 063] loss=0.1635 miou=0.7743 niou=0.7841 f1=0.8728 pd=0.9937 fa=0.000024 thr=0.43 time=40.6s
[Epoch 064] loss=0.1668 miou=0.7712 niou=0.7868 f1=0.8708 pd=0.9937 fa=0.000023 thr=0.41 time=40.4s
[Epoch 065] loss=0.1677 miou=0.7613 niou=0.7744 f1=0.8645 pd=0.9926 fa=0.000027 thr=0.42 time=40.3s
[Epoch 066] loss=0.1660 miou=0.7761 niou=0.7907 f1=0.8739 pd=0.9937 fa=0.000018 thr=0.41 time=40.7s
[Epoch 067] loss=0.1617 miou=0.7749 niou=0.7882 f1=0.8732 pd=0.9926 fa=0.000021 thr=0.41 time=40.7s
[Epoch 068] loss=0.1627 miou=0.7665 niou=0.7837 f1=0.8678 pd=0.9926 fa=0.000020 thr=0.40 time=40.8s
[Epoch 069] loss=0.1607 miou=0.7703 niou=0.7840 f1=0.8703 pd=0.9926 fa=0.000023 thr=0.41 time=40.5s
[Epoch 070] loss=0.1612 miou=0.7751 niou=0.7875 f1=0.8733 pd=0.9926 fa=0.000019 thr=0.40 time=40.7s
[Epoch 071] loss=0.1600 miou=0.7668 niou=0.7770 f1=0.8680 pd=0.9937 fa=0.000027 thr=0.42 time=40.8s
[Epoch 072] loss=0.1614 miou=0.7564 niou=0.7688 f1=0.8613 pd=0.9915 fa=0.000034 thr=0.43 time=40.6s
[Epoch 073] loss=0.1598 miou=0.7722 niou=0.7877 f1=0.8715 pd=0.9926 fa=0.000020 thr=0.40 time=40.7s
[Epoch 074] loss=0.1605 miou=0.7743 niou=0.7891 f1=0.8728 pd=0.9947 fa=0.000019 thr=0.40 time=40.4s
[Epoch 075] loss=0.1579 miou=0.7684 niou=0.7832 f1=0.8690 pd=0.9937 fa=0.000023 thr=0.41 time=40.7s
[Epoch 076] loss=0.1613 miou=0.7755 niou=0.7898 f1=0.8735 pd=0.9947 fa=0.000021 thr=0.42 time=40.6s
[Epoch 077] loss=0.1579 miou=0.7741 niou=0.7846 f1=0.8727 pd=0.9958 fa=0.000025 thr=0.42 time=40.3s
[Epoch 078] loss=0.1579 miou=0.7750 niou=0.7914 f1=0.8732 pd=0.9915 fa=0.000019 thr=0.40 time=38.0s
[Epoch 079] loss=0.1588 miou=0.7798 niou=0.7914 f1=0.8763 pd=0.9937 fa=0.000023 thr=0.41 time=38.0s
[Epoch 080] loss=0.1565 miou=0.7733 niou=0.7851 f1=0.8722 pd=0.9947 fa=0.000022 thr=0.41 time=38.1s
[Epoch 081] loss=0.1575 miou=0.7792 niou=0.7964 f1=0.8759 pd=0.9905 fa=0.000019 thr=0.39 time=38.1s
[Epoch 082] loss=0.1615 miou=0.7695 niou=0.7803 f1=0.8697 pd=0.9947 fa=0.000032 thr=0.43 time=38.1s
[Epoch 083] loss=0.1593 miou=0.7773 niou=0.7918 f1=0.8747 pd=0.9915 fa=0.000028 thr=0.41 time=41.0s
[Epoch 084] loss=0.1551 miou=0.7723 niou=0.7843 f1=0.8715 pd=0.9937 fa=0.000030 thr=0.42 time=41.1s
[Epoch 085] loss=0.1562 miou=0.7750 niou=0.7903 f1=0.8732 pd=0.9926 fa=0.000021 thr=0.41 time=40.8s
[Epoch 086] loss=0.1536 miou=0.7720 niou=0.7902 f1=0.8714 pd=0.9894 fa=0.000018 thr=0.39 time=40.8s
[Epoch 087] loss=0.1538 miou=0.7622 niou=0.7723 f1=0.8651 pd=0.9968 fa=0.000031 thr=0.43 time=40.3s
[Epoch 088] loss=0.1562 miou=0.7751 niou=0.7906 f1=0.8733 pd=0.9937 fa=0.000021 thr=0.40 time=40.4s
[Epoch 089] loss=0.1556 miou=0.7812 niou=0.7969 f1=0.8771 pd=0.9937 fa=0.000019 thr=0.40 time=40.5s
[Epoch 090] loss=0.1517 miou=0.7739 niou=0.7851 f1=0.8726 pd=0.9926 fa=0.000023 thr=0.41 time=40.3s
[Epoch 091] loss=0.1557 miou=0.7706 niou=0.7867 f1=0.8704 pd=0.9937 fa=0.000020 thr=0.40 time=39.1s
[Epoch 092] loss=0.1550 miou=0.7788 niou=0.7917 f1=0.8756 pd=0.9958 fa=0.000023 thr=0.41 time=40.1s
[Epoch 093] loss=0.1531 miou=0.7709 niou=0.7810 f1=0.8707 pd=0.9968 fa=0.000025 thr=0.42 time=40.5s
[Epoch 094] loss=0.1553 miou=0.7782 niou=0.7921 f1=0.8753 pd=0.9937 fa=0.000020 thr=0.40 time=40.4s
[Epoch 095] loss=0.1527 miou=0.7697 niou=0.7802 f1=0.8698 pd=0.9947 fa=0.000030 thr=0.41 time=40.1s
[Epoch 096] loss=0.1513 miou=0.7720 niou=0.7816 f1=0.8713 pd=0.9926 fa=0.000027 thr=0.42 time=40.0s
[Epoch 097] loss=0.1508 miou=0.7647 niou=0.7755 f1=0.8667 pd=0.9968 fa=0.000028 thr=0.42 time=40.5s
[Epoch 098] loss=0.1482 miou=0.7710 niou=0.7836 f1=0.8707 pd=0.9968 fa=0.000026 thr=0.41 time=40.5s
[Epoch 099] loss=0.1498 miou=0.7759 niou=0.7845 f1=0.8738 pd=0.9968 fa=0.000026 thr=0.42 time=40.5s
[Epoch 100] loss=0.1530 miou=0.7745 niou=0.7870 f1=0.8729 pd=0.9947 fa=0.000017 thr=0.41 time=40.3s
[Epoch 101] loss=0.1491 miou=0.7658 niou=0.7713 f1=0.8674 pd=0.9968 fa=0.000031 thr=0.43 time=40.5s
[Epoch 102] loss=0.1495 miou=0.7746 niou=0.7878 f1=0.8730 pd=0.9958 fa=0.000020 thr=0.41 time=38.8s
[Epoch 103] loss=0.1514 miou=0.7754 niou=0.7874 f1=0.8735 pd=0.9947 fa=0.000020 thr=0.40 time=40.4s
[Epoch 104] loss=0.1487 miou=0.7715 niou=0.7823 f1=0.8710 pd=0.9958 fa=0.000023 thr=0.41 time=40.1s
[Epoch 105] loss=0.1477 miou=0.7732 niou=0.7852 f1=0.8721 pd=0.9937 fa=0.000024 thr=0.41 time=39.3s
[Epoch 106] loss=0.1452 miou=0.7702 niou=0.7869 f1=0.8702 pd=0.9937 fa=0.000021 thr=0.40 time=40.2s
[Epoch 107] loss=0.1487 miou=0.7778 niou=0.7899 f1=0.8750 pd=0.9968 fa=0.000022 thr=0.41 time=39.7s
[Epoch 108] loss=0.1458 miou=0.7743 niou=0.7904 f1=0.8728 pd=0.9937 fa=0.000021 thr=0.40 time=39.2s
[Epoch 109] loss=0.1454 miou=0.7745 niou=0.7886 f1=0.8729 pd=0.9926 fa=0.000025 thr=0.41 time=38.5s
[Epoch 110] loss=0.1470 miou=0.7734 niou=0.7862 f1=0.8723 pd=0.9947 fa=0.000022 thr=0.41 time=40.0s
[Epoch 111] loss=0.1467 miou=0.7781 niou=0.7877 f1=0.8752 pd=0.9947 fa=0.000024 thr=0.41 time=40.5s
[Epoch 112] loss=0.1468 miou=0.7711 niou=0.7808 f1=0.8708 pd=0.9958 fa=0.000030 thr=0.43 time=40.1s
[Epoch 113] loss=0.1452 miou=0.7768 niou=0.7880 f1=0.8744 pd=0.9947 fa=0.000025 thr=0.42 time=40.2s
[Epoch 114] loss=0.1390 miou=0.7783 niou=0.7903 f1=0.8754 pd=0.9926 fa=0.000020 thr=0.41 time=40.4s
[Epoch 115] loss=0.1430 miou=0.7736 niou=0.7852 f1=0.8724 pd=0.9937 fa=0.000028 thr=0.42 time=40.5s
[Epoch 116] loss=0.1437 miou=0.7759 niou=0.7885 f1=0.8738 pd=0.9947 fa=0.000024 thr=0.41 time=40.4s
[Epoch 117] loss=0.1450 miou=0.7816 niou=0.7939 f1=0.8774 pd=0.9958 fa=0.000021 thr=0.41 time=38.9s
[Epoch 118] loss=0.1460 miou=0.7761 niou=0.7860 f1=0.8740 pd=0.9968 fa=0.000025 thr=0.42 time=40.0s
[Epoch 119] loss=0.1441 miou=0.7736 niou=0.7851 f1=0.8723 pd=0.9937 fa=0.000028 thr=0.41 time=40.3s
[Epoch 120] loss=0.1432 miou=0.7795 niou=0.7916 f1=0.8761 pd=0.9958 fa=0.000021 thr=0.40 time=40.5s
[Epoch 121] loss=0.1391 miou=0.7739 niou=0.7880 f1=0.8726 pd=0.9937 fa=0.000020 thr=0.40 time=40.4s
[Epoch 122] loss=0.1431 miou=0.7748 niou=0.7848 f1=0.8731 pd=0.9947 fa=0.000025 thr=0.41 time=39.6s
[Epoch 123] loss=0.1464 miou=0.7831 niou=0.7969 f1=0.8784 pd=0.9926 fa=0.000021 thr=0.41 time=38.5s
[Epoch 124] loss=0.1430 miou=0.7825 niou=0.7948 f1=0.8780 pd=0.9937 fa=0.000022 thr=0.41 time=39.3s
[Epoch 125] loss=0.1408 miou=0.7777 niou=0.7875 f1=0.8749 pd=0.9947 fa=0.000027 thr=0.41 time=40.3s
[Epoch 126] loss=0.1437 miou=0.7690 niou=0.7843 f1=0.8694 pd=0.9947 fa=0.000018 thr=0.40 time=40.5s
[Epoch 127] loss=0.1410 miou=0.7810 niou=0.7946 f1=0.8771 pd=0.9958 fa=0.000019 thr=0.39 time=40.3s
[Epoch 128] loss=0.1424 miou=0.7806 niou=0.7925 f1=0.8768 pd=0.9958 fa=0.000022 thr=0.41 time=39.7s
[Epoch 129] loss=0.1430 miou=0.7823 niou=0.7964 f1=0.8779 pd=0.9947 fa=0.000017 thr=0.40 time=40.6s
[Epoch 130] loss=0.1416 miou=0.7735 niou=0.7852 f1=0.8723 pd=0.9937 fa=0.000025 thr=0.41 time=40.7s
[Epoch 131] loss=0.1414 miou=0.7804 niou=0.7920 f1=0.8767 pd=0.9937 fa=0.000018 thr=0.40 time=40.4s
[Epoch 132] loss=0.1399 miou=0.7828 niou=0.7959 f1=0.8781 pd=0.9937 fa=0.000020 thr=0.40 time=40.6s
